epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.613,0.74553,0.50119,0.97695,0.86896,0.94652,0.995,0.76441,0.91075,0.57652,1.02118,0.000539275,0.000539275,0.000539275
43,105.351,0.71346,0.45447,1.0072,0.89498,0.86546,0.93047,0.74538,0.87264,0.76028,1.00744,0.000511769,0.000511769,0.000511769
44,107.206,0.78146,0.5272,0.98729,0.89902,0.86163,0.92208,0.73993,0.85232,0.83289,0.99691,0.000484263,0.000484263,0.000484263
45,109.7,0.66163,0.45329,0.97227,0.90906,0.84737,0.93063,0.75363,0.82731,0.75085,0.99653,0.000456758,0.000456758,0.000456758
46,111.491,0.74105,0.46394,1.02333,0.89435,0.86578,0.95271,0.76944,0.82246,0.67824,1.00378,0.000429253,0.000429253,0.000429253
47,113.201,0.69833,0.43682,0.96668,0.86446,0.94297,0.95938,0.79144,0.79726,0.61427,0.9925,0.000401747,0.000401747,0.000401747
48,115.01,0.7408,0.43962,0.99641,0.90508,0.94263,0.95938,0.81065,0.73862,0.56736,0.96648,0.000374242,0.000374242,0.000374242
49,116.764,0.6822,0.42015,0.97536,0.91741,0.94201,0.95063,0.79662,0.72616,0.55288,0.96458,0.000346736,0.000346736,0.000346736
50,118.445,0.70945,0.43828,0.98313,0.92643,0.94223,0.995,0.82202,0.76013,0.48713,0.96917,0.000319231,0.000319231,0.000319231
51,126.242,0.64583,0.45076,0.9808,0.9775,0.95352,0.995,0.81197,0.78631,0.41332,0.98675,0.000291725,0.000291725,0.000291725
52,129.708,0.63457,0.43565,0.91847,0.99001,1,0.995,0.81227,0.8069,0.3736,0.99716,0.00026422,0.00026422,0.00026422
53,132.243,0.62036,0.40658,0.90732,0.99038,1,0.995,0.81857,0.77635,0.38135,0.99075,0.000236714,0.000236714,0.000236714
54,135.216,0.63995,0.40157,0.94654,0.9882,1,0.995,0.82944,0.73871,0.3853,0.98045,0.000209209,0.000209209,0.000209209
55,137.302,0.59271,0.38714,0.8968,0.98267,1,0.995,0.83157,0.72082,0.37865,0.97149,0.000181703,0.000181703,0.000181703
56,139.095,0.56384,0.36523,0.90586,0.97252,1,0.995,0.84176,0.72256,0.38779,0.9664,0.000154198,0.000154198,0.000154198
57,140.937,0.59404,0.37483,0.9221,0.96917,1,0.995,0.8325,0.74262,0.38685,0.9693,0.000126692,0.000126692,0.000126692
58,142.793,0.58643,0.3759,0.91314,0.97114,1,0.995,0.8214,0.76991,0.38149,0.97251,9.91865e-05,9.91865e-05,9.91865e-05
59,144.555,0.54811,0.34699,0.8833,0.9743,1,0.995,0.82213,0.7866,0.37688,0.97491,7.1681e-05,7.1681e-05,7.1681e-05
60,146.924,0.56396,0.35209,0.93133,0.97864,1,0.995,0.82791,0.79079,0.37128,0.97657,4.41755e-05,4.41755e-05,4.41755e-05
